stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self
0.1019965426950309,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,35.0,1749.0,0.0
0.10158525133040301,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10179168966406625,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,50.0,967.0,0.0
0.10281296804250929,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,40.0,1387.0,0.0
0.10087383862266286,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,44.0,826.0,0.0
0.10224501775555148,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10282642335466705,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,23.0,1172.0,0.0
0.10245241671488715,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,33.0,1513.0,0.0
0.10135042977887518,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,34.0,1051.0,0.0
0.10443089441785212,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10331187928026973,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,67.0,874.0,0.0
0.10334210670448535,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,53.0,940.0,0.0
0.10245661339296301,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,81.0,651.0,0.0
0.10122327620671545,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,35.0,1317.0,0.0
0.10030367292374694,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,61.0,942.0,0.0
0.10218811978538365,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,48.0,720.0,0.0
0.10189199893513225,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,68.0,951.0,0.0
0.10003873265370564,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,48.0,1276.0,0.0
0.1028347767206209,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,62.0,957.0,0.0
0.10184971204001857,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,36.0,1300.0,0.0
0.09920346035449303,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,777.0,0.0
0.09761425720969687,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,740.0,0.0
0.09938599017892374,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,426.0,0.0
0.10081913695160281,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,450.0,0.0
0.10039364494335615,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,491.0,0.0
0.09898876048611865,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,692.0,0.0
0.09943825296051327,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,3.0,701.0,0.0
0.09881718190203133,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,702.0,0.0
