iteration,chain,sig,muy[1],muy[2],muy[3],sub1.mu[1],sub1.mu[2],sub1.mu[3],sub1.ν,sub2.mu[1],sub2.mu[2],sub2.mu[3],sub2.ν,sub3.mu[1],sub3.mu[2],sub3.mu[3],sub3.ν,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
2001,1,0.6031107891068563,10.60755850094134,13.367823474027036,14.217066607646235,-1.6899615089082667,-2.3521677929259597,0.3982389456423181,8.537819883866037,-0.7958057804243301,0.661513399028528,-1.2350066203865402,6.118340674766551,-0.4891635722571541,-2.0591595714837827,-0.03399816725774689,9.342369341584032,-122.98316133358732,15.0,1.0,0.7096493609480972,-122.98316133358732,127.27659385608578,0.3863671122584549,0.7253046838532384,4.0,0.0,0.23715121010981652,0.23715121010981652
2002,1,1.5426427203108715,10.333491645740407,12.605842632515483,15.478367869977392,-0.26857377288637574,-0.8588813474437778,0.7847648349076397,9.520402294263798,0.1430574810539228,1.3673650292608739,0.0014396951024395754,12.668889691444205,-0.7836851662299241,-1.479256973585139,-0.2849759343944144,16.998559611931825,-116.88036661143464,31.0,1.0,0.9490537317383224,-116.88036661143464,128.98732696392707,-0.6197089071776531,-1.7858164064616062,4.0,0.0,0.23715121010981652,0.23715121010981652
2003,1,0.8764300795510533,10.600998997502948,13.27347276663581,15.28156943680767,-0.7286231637334644,-1.9596736979596987,0.6079932058398896,6.379689319304775,-0.44443121531788893,0.6630319861489357,-0.3550142802563479,8.843798970061313,-1.3773444610760979,-1.235506735916843,-1.3822174131421692,13.077462218489762,-119.40566064601464,15.0,1.0,0.43729008859822854,-119.40566064601464,126.22664050754003,0.09436816466252651,2.04006998781837,4.0,0.0,0.23715121010981652,0.23715121010981652
2004,1,1.0162482191327613,9.758220930154614,12.956131619430876,15.713396305863196,0.032715347658171384,-0.6307808623047793,1.1426772329427737,7.875025676241547,-0.3208938107347359,1.8057962151289975,-0.47899274920038676,9.478669129323746,-2.0425596243482462,-2.5909724572055497,-0.9174014233023428,16.870819459050534,-120.94517092395662,15.0,1.0,0.9916183453635621,-120.94517092395662,126.69180159740091,0.08676957472125935,-0.2245547192677435,4.0,0.0,0.23715121010981652,0.23715121010981652
2005,1,0.906495588398801,9.856618528246264,12.594083153974802,16.223830626207114,-0.1866350994992325,-0.42956555850044864,1.6177885192242674,8.294303159186962,-0.3173075376371834,2.1661224395215877,-0.7675428165874535,10.012341532093075,-1.9821560245587295,-2.3849897771908455,-1.5332778933708897,18.68578760217944,-125.96092181973422,7.0,1.0,0.31191145521136904,-125.96092181973422,132.1999904776914,1.5264679102538423,2.2082705908220817,3.0,0.0,0.23715121010981652,0.23715121010981652
2006,1,0.5585655338559358,10.447248026609081,13.376273990306554,14.439456910634247,0.2514121734428959,-1.3606133580669673,0.919061991688661,9.366103110302682,-0.3037559739988325,0.26480623019706945,-0.7825355023490748,5.1316937644655205,-1.9038906514804759,-1.5563595297976598,-0.7574226626349998,9.101567567880517,-126.26826090047216,15.0,1.0,0.9478450109066697,-126.26826090047216,136.6115042180181,0.1552359026985357,-0.9426295941828187,4.0,0.0,0.23715121010981652,0.23715121010981652
2007,1,1.088019039953174,10.49497272721433,12.029408585798317,14.311792749529488,0.27084596327448235,-0.8345401781676783,0.573616097282438,6.435496046506165,-0.042699000661214515,1.8513719741277024,0.20105797489955562,15.474353155908764,-0.11902511733080867,-1.3700441042156177,0.0014953987718732686,18.138650240586102,-122.62509529597043,15.0,1.0,0.9961439173705311,-122.62509529597043,131.83442396612608,-0.1274618808773198,-0.5887066896249564,4.0,0.0,0.23715121010981652,0.23715121010981652
2008,1,0.7624180972191116,10.433842020854424,13.210645388948317,13.196512791627802,-0.43118521366898926,-0.7715563479004941,1.4389402456898088,7.627475671582161,-0.14681227735574084,0.4567679086832841,-0.5781056945014549,12.031762910360124,0.6406007397423376,1.0515456595951345,0.5998537920027278,11.509735354825112,-120.98775548704748,31.0,1.0,0.890072243913751,-120.98775548704748,134.7861800104045,0.10123046940506697,-0.7152859650109917,4.0,0.0,0.23715121010981652,0.23715121010981652
2009,1,0.4760158208559585,10.202974070620709,12.811641537066878,13.460169490379217,0.2982547682385231,-2.1334689357030823,1.3220092218799215,7.446816935731402,-0.28221704089722266,2.1346479485386975,-0.24363690775660196,7.207709688833539,-0.21769730648221156,-0.20638684643310973,1.1737287471945554,12.161165389182052,-120.47821218260619,15.0,1.0,0.9637190909273082,-120.47821218260619,128.80158512159716,-0.25575145291324475,-0.6279705203075139,4.0,0.0,0.23715121010981652,0.23715121010981652
2010,1,0.8653557101017019,10.034556309526664,13.393270383673407,13.691200160056015,-0.6882734217023682,-0.6384757037207481,1.8755606695111315,7.056736408409255,-1.0884465611589156,0.23424000625598385,-0.7870232200593518,13.371740161353763,-0.4360435082501867,-0.4288030156846886,0.9590864010384761,15.977964251890963,-119.30269365546165,15.0,1.0,0.9627127499865106,-119.30269365546165,125.48577261826853,0.0048347817074443356,-0.6447387238363689,4.0,0.0,0.23715121010981652,0.23715121010981652
