stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self,jac,envdet,pie
0.09974586833351338,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,6.0,556.0,0.0,0.5917715139654431,1.0,0.6139239014871073
0.09801608218742493,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,4.0,523.0,0.0,0.7545061535045932,1.0,0.6658584560167785
0.09896883967977502,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,5.0,555.0,0.0,0.41262746451951415,1.0,0.9133078691934583
0.0973643597124184,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,2.0,400.0,0.0,0.6331054912734982,1.0,0.992778795931297
0.09723880160907747,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,4.0,576.0,0.0,0.5476343121696488,0.8333333333333334,0.751889616491032
0.09931902332991867,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,4.0,403.0,0.0,0.7545061535045929,0.8571428571428572,0.75617842580579
0.0999047452655762,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,5.0,676.0,0.0,0.4436203924156446,1.0,0.944135027859811
0.10287514081910823,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,52.0,990.0,0.0,0.3414473331648827,0.48,0.6983579772470809
0.09996236790323905,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,0.0,0.18894846947530336,0.42000000000000004,0.830898812084068
0.10151674039665598,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,55.0,1404.0,0.0,0.3250233665181043,0.6071428571428572,0.838003008567602
0.10163674425772261,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,65.0,920.0,0.0,0.27853663716786403,0.5176470588235293,0.7392104525562344
0.10348078861222418,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,66.0,911.0,0.0,0.2525773878124369,0.33999999999999997,0.7772630643507294
0.10193475750072523,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,0.0,0.18894846947530333,0.0,0.8747083397794345
0.10251117654219055,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,51.0,1132.0,0.0,0.36008865400072537,0.6666666666666667,0.827215071777509
0.10058784929792806,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,50.0,1012.0,0.0,0.384125424374564,0.631578947368421,0.7877322538272706
0.1027107194724344,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,73.0,505.0,0.0,0.2162402048923747,0.27,0.808243185181368
0.10267848475426714,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,78.0,709.0,0.0,0.1698396230121721,0.21999999999999997,0.8156807023303483
0.10198913403332996,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,0.0,2.1588470239079978e-7,0.48,0.893791239943796
0.10159391149213097,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,58.0,1035.0,0.0,0.419999848649761,0.42000000000000004,0.8241843667667824
0.10274211855584331,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,62.0,984.0,0.0,0.37999986360684485,0.6071428571428572,0.8001130171129683
0.1036155563010189,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,61.0,824.0,0.0,0.38999983266772403,0.5176470588235293,0.8276047789477822
0.10110785740147447,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,0.0,2.1587566493044994e-7,0.33999999999999997,0.8534115385636739
0.10377498297778653,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,0.0,2.158709658135194e-7,0.0,0.8563665294740995
0.10108271988970552,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,57.0,1089.0,0.0,0.4299998591145021,0.6666666666666667,0.774173779822212
0.10165261647266072,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,54.0,846.0,0.0,0.459999845200444,0.631578947368421,0.7883861623221029
0.1019077136537315,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,0.0,2.1586242408417287e-7,0.27,0.8515060421700088
0.10255417338008822,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,0.0,2.1589372776364023e-7,0.21999999999999997,0.869184571905138
0.11156405993353018,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,5.0,492.0,0.0,0.38129946806676157,1.0,0.741067733656393
0.10916146473280691,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,1.0,493.0,0.0,0.7688028649529439,1.0,0
0.10958401810244155,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,491.0,0.0,0.4329093789619659,1.0,0.6944142708345927
0.1108559954633524,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,5.0,567.0,0.0,0.38129946806676157,0.9090909090909091,0.4050952826357737
0.10997066434690787,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,5.0,501.0,0.0,0.6818050647422152,1.0,0.4502263333120527
0.10869794263834263,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,3.0,512.0,0.0,0.34832365491505013,0.8888888888888888,0.5763756988620571
0.10999180715062676,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,343.0,0.0,0.43290937896196596,1.0,0.4963936484293295
0.10965395469563903,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,1.0,485.0,0.0,0.7688028649529439,1.0,0
0.10924961108920579,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,4.0,547.0,0.0,0.5472374290927093,0.9,0.7534378896522105
0.10975019203515626,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,5.0,497.0,0.0,0.791224379756063,1.0,0.9602249457331494
0.11000333033630764,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,5.0,535.0,0.0,0.5431172266313128,1.0,0.7168250272016132
0.10869293673033761,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,6.0,489.0,0.0,0.7377194672344125,1.0,0.6637208487711603
0.10851175814367538,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,442.0,0.0,0.46019060441334253,1.0,0.7425057331388847
